chandra_ID,ID,energy_lower,energy_upper,net_counts,net_err,net_rate,cel_area,cel_bri,cel_bri_err,bgreg_counts,bgreg_err,counts,count_rate,area,bg_counts,bg_rate,bg_area,ra,dec,source_upper,source_lower,back_upper,back_lower,upper_err,lower_err
11715,54.1,300,20000,5.47098,6.30772,7.46E-05,137.97,0.0396535,0.0457182,32.529,1.33693,38,0.000517962,569.972,592,0.0080693,10373,49.68729167,41.40566667,4.772650461,0.732278229,39.29780658,26.84754833,7.28175068,5.840977753
11715,54.2,2000,7000,9.43875,6.03675,0.000128656,137.97,0.0684118,0.0437542,25.5612,1.20097,35,0.00047707,569.972,453,0.00617465,10101.1,49.68729167,41.40566667,4.625673239,0.661567441,31.69076161,20.53027242,6.678070643,5.19963866
11715,55.1,300,20000,8.10337,14.6715,0.000110454,656.699,0.0123396,0.0223412,166.897,6.34446,175,0.00238535,2712.91,692,0.00943236,11248.5,49.69233333,41.41030556,49.76056676,35.7290699,180.8441936,153.9872033,15.86211555,14.44308869
11715,55.2,2000,7000,9.41573,12.9526,0.000128342,656.699,0.014338,0.0197239,127.584,5.54714,137,0.00186739,2712.91,529,0.00721058,11248.5,49.69233333,41.41030556,39.85467671,27.31522383,139.9125308,116.2998283,14.08576325,12.65407795
11715,58.1,300,20000,0.133701,5.97767,1.82E-06,114.004,0.00117278,0.0524339,33.8663,1.31625,34,0.00046344,470.966,662,0.00902344,9206.19,49.71141667,41.38586111,4.317125624,0.5189644,40.74985001,28.0683335,7.350394952,5.925001716
11715,58.2,2000,7000,0.677012,5.22451,9.23E-06,114.004,0.0059385,0.0458274,25.323,1.13818,26,0.000354395,470.966,495,0.00674714,9206.19,49.71141667,41.38586111,3.77234972,0.290819301,31.42915134,20.31568778,6.576467567,5.114007867
11715,61.1,300,20000,-6.68636,6.79154,-9.11E-05,114.004,-0.0586503,0.0595728,50.6864,1.45773,44,0.000599745,470.966,1209,0.0164794,11233.8,49.7475,41.42094444,4.45545046,0.581859504,58.85803309,43.58429397,8.57882138,7.213237195
11715,61.2,2000,7000,-5.39639,5.79377,-7.36E-05,114.004,-0.0473351,0.0508208,37.3964,1.25212,32,0.000436179,470.966,892,0.0121585,11233.8,49.7475,41.42094444,3.787794079,0.296786934,44.57248414,31.3014514,7.581739019,6.18367123
11715,65.1,300,20000,3.07484,6.14424,4.19E-05,55.8672,0.0550383,0.109979,33.9252,0.86703,37,0.000504331,230.795,1531,0.0208684,10415.5,49.782375,41.45336111,3.072822459,0.064974569,40.8136844,28.12209826,7.247621163,5.851922863
11715,65.2,2000,7000,-3.43833,4.75012,-4.69E-05,55.8672,-0.0615447,0.0850253,25.4383,0.750789,22,0.000299873,230.795,1148,0.0156479,10415.5,49.782375,41.45336111,2.599920553,0.000160448,31.55575542,20.41950933,6.471904964,5.042400033
11715,68.1,300,20000,0.915268,7.06409,1.25E-05,92.3568,0.00991013,0.0764869,47.0847,1.37889,48,0.000654268,381.539,1166,0.0158933,9448.38,49.81254167,41.37547222,4.577914252,0.638959027,55.0010016,40.24114474,8.344746129,6.965848386
11715,68.2,2000,7000,-1.6495,5.49888,-2.25E-05,92.3568,-0.01786,0.0595395,30.6495,1.11251,29,0.000395287,381.539,759,0.0103456,9448.38,49.81254167,41.37547222,3.557084689,0.211341855,37.25302316,25.13592374,7.021371435,5.596477362
11715,75.1,300,20000,9.48276,20.2883,0.000129256,502.805,0.0188597,0.0403502,339.517,7.91289,349,0.00475707,2077.16,1841,0.0250939,11263.2,49.84608333,41.388,73.43183823,56.3555659,358.9636636,321.0981164,21.45719171,20.08432044
11715,75.2,2000,7000,20.7087,17.2344,0.000282271,502.805,0.0411863,0.0342765,233.291,6.55924,254,0.00346217,2077.16,1265,0.0172427,11263.2,49.84608333,41.388,54.74144068,40.01681062,249.5897845,218.025681,18.11155382,16.72226266
11715,88.1,300,20000,-6.96474,16.5798,-9.49E-05,551.796,-0.012622,0.0300471,233.965,6.92034,227,0.00309414,2279.54,1143,0.0155798,11136.4,49.99625,41.30919444,54.33658249,39.66706759,250.2841496,218.676078,18.11939399,16.73107963
11715,88.2,2000,7000,17.3025,15.2505,0.000235843,551.796,0.0313568,0.027638,178.697,6.04799,196,0.00267159,2279.54,873,0.0118995,11136.4,49.99625,41.30919444,47.51272013,33.80552142,193.0925174,165.338348,16.18313808,14.77553779
